target:4999997,active:11,hitrate:2.200001320000792e-06,duration:1153.7072868347168

#2001:460:28:3000::/52,budget:5000000
target:5000000,active:1,hitrate:2e-07,duration:1094.4610810279846

#2001:559:8041::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1153.4602317810059

#2604:a180:c000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1176.32661318779

#2804:4660:f800::/37,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1193.7603647708893

#2408:840d:c300::/43,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1188.8800764083862

#2409:8a28:a800::/40,budget:5000000
target:4999999,active:4261,hitrate:0.0008522001704400341,duration:1078.6541159152985

#2001:559:c1ad::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1156.1090109348297

#2606:4700:8049::/48,budget:5000000
target:4999997,active:4930943,hitrate:0.986189191713515,duration:1178.0747425556183

#2001:ee0:4ec0::/42,budget:5000000
target:4999993,active:16476,hitrate:0.0032952046132864584,duration:1161.4037046432495

#2607:6b80:48::/48,budget:5000000
target:4999997,active:3295537,hitrate:0.6591077954646772,duration:1128.125126361847

#2001:4490:4450::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1135.6807250976562

#2409:8904:c030::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1168.1067833900452

#2804:3420::/33,budget:5000000
target:4999991,active:108,hitrate:2.1600038880069984e-05,duration:1192.2907860279083

#2a06:e7c0::/32,budget:5000000
target:4999996,active:1,hitrate:2.00000160000128e-07,duration:1171.9535539150238

#2001:df0:fc00::/48,budget:5000000
target:4999997,active:3,hitrate:6.00000360000216e-07,duration:1095.004843711853

#2a06:98c0:3605::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1152.6089794635773

#240e:438:8030::/44,budget:5000000
target:4999993,active:1264,hitrate:0.00025280035392049547,duration:1154.9080233573914

#2804:1e68::/32,budget:5000000
target:4999996,active:5587,hitrate:0.0011174008939207152,duration:1158.174451828003

#2001:250:440b::/48,budget:5000000
target:4999997,active:19,hitrate:3.800002280001368e-06,duration:1086.732604265213

#2a02:128:5::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1160.268488407135

#2a02:2e02:e0b0::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1166.2808904647827

#2607:fdf0:5e4d::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1166.922037601471

#2803:4580:8105::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1158.6914432048798

#2c0f:fc88:2b::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1155.088740348816

#2407:9440:51::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1161.5865352153778

#2804:4b0:358::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1157.0548222064972

#2804:7c84::/33,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1200.679916858673

#2804:4670:b000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1171.1128363609314

#2804:2ab8:13::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1155.4544081687927

#2a02:2698:902a::/48,budget:5000000
target:4999997,active:27,hitrate:5.400003240001944e-06,duration:1162.9232902526855

#2402:8100:384e::/48,budget:5000000
